id,source,text,label,scene_id,movie/series/book name,classification,notes,,
1,movie,"""When I'm with you, I feel so safe. Like I'm home.""",intimacy,,Garden State,verbalised appreciation,,,
2,movie,"""You have bewitched me, body and soul, and I love… I love… I love you.""",commitment,,pride and prejudice,Explicit declaration of love.,,,
3,movie,"""To me, you are perfect.""",intimacy,,"love,actually",verbalised appreciation,,,
4,movie,"""I can't see anything I don't like about you.""",intimacy,script page 130,eternal sunshine of the spotless mind,verbalised appreciation,,,
5,movie,"""You must do me this honor, you must promise me that you'll survive.""",commitment,,titanic,loyalty despite hardship,,,
6,movie,"""Being with you is the only way I could have a full and happy life""",commitment,,50 first dates,Statements choosing the partner.,intimacy undertone?,,
7,movie,"""It's an extraordinary thing to meet someone who you can bare your soul to, and who'll accept you for what you are.""",intimacy,,twilight,shared vulnrability,,,
8,movie,"""I would rather share one lifetime with you than face all the ages of this world alone.""",commitment,,lord of the rings,Statements choosing the partner.,,,
9,movie,"""I just wanted to take another look at you.""",passion,,a star is born,Expressions of intense longing or craving.,,,
10,movie,"""No measure of time with you will be long enough. But, we'll start with forever.""",commitment,,twilight,Statements choosing the partner.,,,
11,movie,"""I don't feel alone anymore""",intimacy,,the time traveller's wife,Personal disclosure,,,
12,movie,"""I really like talking to 
you""",intimacy,script page 14,before sunrise,verbalised appreciation,,,
13,movie,"""Before the night is over, is it safe to assume that we’re going to kiss?""",passion,script page 29,before sunrise,desire for physical closeness,,,
14,movie,"""I just wanted to kiss you again.""",passion,script page 33,before sunrise,Explicit or implicit sexual desire.,,,
15,movie,"""I like to feel his eyes on me when I look away.""",passion,script page 55,before sunrise,Physical attraction statements,,,
16,movie,"""But I’m happy to be with you.""",intimacy,script page 65,before sunrise,verbalised appreciation,,,
17,movie,"""Being with you has made me feel like I am someone else.""",intimacy,script page 66,before sunrise,Personal disclosure,,,
18,movie,"“Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.""",commitment,,the fault in our stars,Sacrifice for the relationship,leaning toward intimacy,,
19,movie,"""and for the first time in my whole life I realized I totally and utterly loved one person""",commitment,,four weddings and a funeral,Explicit declaration of love.,,,
20,movie,"""I love him! I love him for the man he wants to be. And I love him for the man he almost is""",commitment,,jerry maguire,Explicit declaration of love.,,,
21,movie,"""No matter what happens now or for the rest of my life, I'm happy now because I love you.""",commitment,,Groundhog Day,Explicit declaration of love.,,,
22,movie,"""I can't figure out the mathematics of this, I just know I love you.""",commitment,,the holiday,Explicit declaration of love.,,,
23,movie,"""Some people are worth melting for.""",commitment,,frozen,Sacrifice for the relationship,,,
24,movie,"""You complete me.""",intimacy,,jerry maguire,verbalised appreciation,,,
25,movie,"""I'm just... happy. I've never felt that before. I'm just exactly where I want to be.""",intimacy,script page 61,eternal sunshine of the spotless mind,verbalised appreciation,,,
26,movie,"""But when the bad comes again...I'm gonna be next to you.""",commitment,,johnny and frankie,Loyalty despite hardship,,,
27,movie,"""Choose me. Marry me. Let me make you happy.""",commitment,,My Best Friend's Wedding,Marriage or engagement references.,,,
28,movie,"""Kiss me. Kiss me as if it were the last time.""",passion,,casablanca,Desire for physical closeness.,,,
29,movie,"""I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.""",commitment,,when harry met sally ,Statements choosing the partner.,,,
